ticker,kpi,model,cell,verdict
AAPL,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
AAPL,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
AAPL,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
AAPL,revenue,llama3.1:8b-instruct-q4_K_M,A1,correct
AAPL,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
CAT,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
CAT,net_income,llama3.1:8b-instruct-q4_K_M,A1,no-ground-truth
CAT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
CAT,revenue,llama3.1:8b-instruct-q4_K_M,A1,correct
CAT,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
COST,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
COST,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
COST,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
COST,revenue,llama3.1:8b-instruct-q4_K_M,A1,correct
COST,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
JNJ,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
JNJ,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
JNJ,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
JNJ,revenue,llama3.1:8b-instruct-q4_K_M,A1,correct
JNJ,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
KO,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
KO,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
KO,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
KO,revenue,llama3.1:8b-instruct-q4_K_M,A1,correct
KO,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
MSFT,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
MSFT,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
MSFT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
MSFT,revenue,llama3.1:8b-instruct-q4_K_M,A1,correct
MSFT,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
NVDA,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
NVDA,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
NVDA,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
NVDA,revenue,llama3.1:8b-instruct-q4_K_M,A1,correct
NVDA,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
PG,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
PG,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
PG,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
PG,revenue,llama3.1:8b-instruct-q4_K_M,A1,correct
PG,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
WMT,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,correct
